collectDate,uva_250,uva_280,dtpr,site
10/12/16 14:56,0.0213,0.0133,10/12/16 15:00,BARC
10/12/16 15:30,0.0197,0.0114,10/12/16 15:30,BARC
11/2/16 15:05,0.0376,0.0303,11/2/16 15:00,BARC
11/2/16 15:30,0.025,0.0182,11/2/16 15:30,BARC
11/2/16 15:58,0.0247,0.0184,11/2/16 16:00,BARC
12/13/16 15:29,0.0165,0.0128,12/13/16 15:30,BARC
12/13/16 16:01,0.0146,0.0088,12/13/16 16:00,BARC
12/13/16 16:41,0.0167,0.0116,12/13/16 16:45,BARC
2/1/17 15:12,0.0202,0.0151,2/1/17 15:15,BARC
2/1/17 15:47,0.0173,0.0146,2/1/17 15:45,BARC
2/1/17 16:20,0.0187,0.0158,2/1/17 16:15,BARC
3/9/17 15:18,0.0245,0.0206,3/9/17 15:15,BARC
3/9/17 15:40,0.0274,0.0213,3/9/17 15:45,BARC
3/9/17 16:04,0.0298,0.025,3/9/17 16:00,BARC
4/5/17 13:53,0.0682,0.053,4/5/17 14:00,BARC
4/5/17 14:29,0.0223,0.0192,4/5/17 14:30,BARC
4/5/17 14:55,0.0316,0.0303,4/5/17 15:00,BARC
5/2/17 13:45,0.0092,0.0053,5/2/17 13:45,BARC
5/2/17 14:02,0.0116,0.0071,5/2/17 14:00,BARC
5/2/17 14:55,0.019,0.0136,5/2/17 15:00,BARC
6/8/17 14:04,0.0189,0.013566667,6/8/17 14:00,BARC
6/8/17 14:30,0.018,0.0126,6/8/17 14:30,BARC
6/8/17 15:00,0.0201,0.0145,6/8/17 15:00,BARC
6/27/17 12:51,0.0306,0.0211,6/27/17 12:45,BARC
6/27/17 13:17,0.0296,0.0204,6/27/17 13:15,BARC
6/27/17 13:45,0.0272,0.0162,6/27/17 13:45,BARC
8/2/17 13:04,0.0896,0.0627,8/2/17 13:00,BARC
8/2/17 13:27,0.0372,0.0218,8/2/17 13:30,BARC
8/2/17 13:50,0.0381,0.024,8/2/17 13:45,BARC
9/5/17 13:30,0.042033333,0.0276,9/5/17 13:30,BARC
9/5/17 13:45,0.0427,0.0267,9/5/17 13:45,BARC
9/5/17 14:08,0.0425,0.0272,9/5/17 14:15,BARC
10/10/17 14:03,0.0619,0.0418,10/10/17 14:00,BARC
10/10/17 14:26,0.0612,0.0411,10/10/17 14:30,BARC
10/10/17 14:54,0.0644,0.0435,10/10/17 15:00,BARC
11/7/17 16:05,0.0583,0.0398,11/7/17 16:00,BARC
11/7/17 16:39,0.059,0.0394,11/7/17 16:45,BARC
11/7/17 16:57,0.0536,0.0364,11/7/17 17:00,BARC
12/5/17 15:57,0.042,0.0282,12/5/17 16:00,BARC
12/5/17 16:14,0.0459,0.0318,12/5/17 16:15,BARC
12/5/17 16:38,0.0462,0.0325,12/5/17 16:45,BARC
1/4/18 15:55,0.0427,0.027,1/4/18 16:00,BARC
2/6/18 15:45,0.0547,0.0364,2/6/18 15:45,BARC
3/5/18 15:46,0.0478,0.0328,3/5/18 15:45,BARC
4/2/18 15:13,0.0396,0.0279,4/2/18 15:15,BARC
4/30/18 16:07,0.0651,0.0468,4/30/18 16:00,BARC
6/5/18 17:08,0.018066667,0.009133333,6/5/18 17:15,BARC
7/10/18 3:27,0.0396,0.0235,7/10/18 3:30,BARC
7/31/18 14:30,0.016433333,0.0304,7/31/18 14:30,BARC
9/5/18 14:27,0.036266667,0.024266667,9/5/18 14:30,BARC
10/1/18 15:29,0.0345,0.0218,10/1/18 15:30,BARC
11/5/18 16:12,0.0347,0.0109,11/5/18 16:15,BARC
12/3/18 17:33,0.0294,0.0201,12/3/18 17:30,BARC
1/7/19 19:20,0.0362,0.0255,1/7/19 19:15,BARC
2/5/19 16:57,0.0366,0.027,2/5/19 17:00,BARC
3/5/19 16:11,0.1182,0.0828,3/5/19 16:15,BARC
4/11/19 14:42,0.0301,0.0228,4/11/19 14:45,BARC
5/8/19 14:32,0.0264,0.0176,5/8/19 14:30,BARC
6/11/19 14:56,0.033166667,0.0242,6/11/19 15:00,BARC
7/8/19 14:02,0.023,0.007,7/8/19 14:00,BARC
8/13/19 16:46,0.049,0.0335,8/13/19 16:45,BARC
